epoch,time_sec,train_loss,train_acc,val_loss,val_acc,lr
1,13.672581849584668,0.33693013566512214,0.24947189836850361,0.6919538332362678,0.20608215247873332,0.0001
2,14.413599808919223,0.3761202048484945,0.26268362626512004,0.6854464356454194,0.1998852964077408,9.796122448979593e-05
3,13.700086446278982,0.4190842393438633,0.24132687492953142,0.7194702081569264,0.20400277637610395,9.592244897959183e-05
4,13.860884429948023,0.437450907517193,0.25103379286630984,0.7263350639674049,0.2041648508510247,9.388367346938776e-05
5,13.99070858371671,0.4347490929140215,0.26450552171481323,0.7709745790855224,0.21381390187745156,9.184489795918368e-05
6,14.788706236422897,0.5415089325127023,0.26109841367189807,0.7712836728680138,0.2077011399267806,8.98061224489796e-05
7,14.499135319647039,0.560000604661921,0.2588418748025109,0.8762057006376428,0.2149417766895475,8.776734693877552e-05
8,14.311743318425105,0.6927811415129866,0.26116913129008,0.9177584894942653,0.22608976960455152,8.572857142857143e-05
9,13.543520736636541,0.7417874903161312,0.264703774312823,0.9539585576753227,0.22403331046079106,8.368979591836735e-05
10,14.600622444420424,0.7257906994618621,0.2661951615832998,1.0,0.21665629089877803,8.165102040816327e-05
11,14.09242502764651,0.8039164459888921,0.2682239834939843,1.0,0.22052025611202064,7.961224489795918e-05
12,14.703070677943,0.9404158392225668,0.27708894279059504,1.0,0.22918233351229733,7.75734693877551e-05
13,13.881631688789819,1.0,0.2694150885787783,1.0,0.2209154134121904,7.553469387755102e-05
14,13.585327404976727,1.0,0.2903727750356542,1.0,0.23094761086567972,7.349591836734695e-05
15,14.7999729613488,1.0,0.28902045743793986,1.0,0.24508542432134178,7.145714285714287e-05
16,13.831543493826556,1.0,0.2968806275265403,1.0,0.24831281876456002,6.941836734693878e-05
17,14.10748417207089,1.0,0.3022703791528247,1.0,0.26863821785221736,6.73795918367347e-05
18,13.974144706527314,1.0,0.3167188542518195,1.0,0.26244367024201914,6.534081632653062e-05
19,13.614994049994671,1.0,0.32785947823526235,1.0,0.270280836672004,6.330204081632653e-05
20,14.764837041344556,1.0,0.3303675746397615,1.0,0.28303256286074774,6.126326530612245e-05
21,14.773408721617292,1.0,0.35294748862965525,1.0,0.30177621947198907,5.922448979591837e-05
22,14.957197637153081,1.0,0.36429624784332776,1.0,0.3156597226134515,5.718571428571429e-05
23,14.078065371592707,1.0,0.3796025846685395,1.0,0.3466253751701955,5.5146938775510206e-05
24,14.931732187662998,1.0,0.4020659627550241,1.0,0.34919564814418,5.310816326530612e-05
25,14.168637541259578,1.0,0.4214418942074663,1.0,0.37199435310529433,5.106938775510204e-05
26,14.504586977582711,1.0,0.44285074727826124,1.0,0.3987321687958625,4.9030612244897964e-05
27,13.623750074545733,1.0,0.4632728952634162,1.0,0.4161159098394894,4.699183673469388e-05
28,14.845647869972302,1.0,0.49564366578066876,1.0,0.4448464173746737,4.4953061224489794e-05
29,13.947005251033143,1.0,0.5124349076124699,1.0,0.4698184134801439,4.2914285714285716e-05
30,13.893457233894573,1.0,0.5313932736921156,1.0,0.49931577184361575,4.087551020408164e-05
31,13.507694323596686,1.0,0.5624970062379158,1.0,0.5132718045652266,3.8836734693877546e-05
32,14.314803772920609,1.0,0.5973397725367441,1.0,0.5542214070828501,3.679795918367347e-05
33,14.21339455051088,1.0,0.6270070766640071,1.0,0.5760623192291374,3.475918367346939e-05
34,14.454560516357283,1.0,0.6441280205390651,1.0,0.605036262235961,3.272040816326531e-05
35,14.967306201123009,1.0,0.6774579696094204,1.0,0.627784471321951,3.068163265306123e-05
36,14.862994136746632,1.0,0.7053859747262129,1.0,0.6651278658400428,2.864285714285714e-05
37,14.865229613670234,1.0,0.7190574395474857,1.0,0.666598799556586,2.6604081632653062e-05
38,14.287883506660718,1.0,0.735202997283333,1.0,0.7094429775105049,2.4565306122448983e-05
39,13.656028424782145,1.0,0.7526742077892556,1.0,0.717477516464006,2.252653061224489e-05
40,13.771371892886851,1.0,0.786094655879281,1.0,0.7495068063828206,2.0487755102040813e-05
41,14.929560331480113,1.0,0.8040822677656666,1.0,0.7647082992255606,1.8448979591836735e-05
42,14.117929475079539,1.0,0.8049241142819376,1.0,0.7788191865997666,1.6410204081632656e-05
43,14.797525680910773,1.0,0.8278375577842367,1.0,0.7914140851524382,1.4371428571428578e-05
44,14.508265919214264,1.0,0.8326380895072807,1.0,0.8122196909214773,1.2332653061224486e-05
45,14.443178693823242,1.0,0.8508629573928879,1.0,0.8057988836337848,1.0293877551020408e-05
46,13.913338164973428,1.0,0.8615070787332558,1.0,0.815316607785818,8.25510204081633e-06
47,14.845120904611294,1.0,0.8620128106898921,1.0,0.8231156981221308,6.2163265306122375e-06
48,13.810337057015047,1.0,0.871910316845142,1.0,0.839781154110072,4.177551020408159e-06
49,14.106607864613112,1.0,0.8794224733326728,1.0,0.8326634381533573,2.138775510204081e-06
50,14.990358738591155,1.0,0.8794671915114748,1.0,0.8519122591888743,1e-07
